date,ticker,horizon,predicted_close,actual_close,error,abs_error,direction_correct
2026-02-09 15:20:00+05:30,NTPC,10m,367.00506591796875,364.5,2.50506591796875,2.50506591796875,1
2026-02-09 15:20:00+05:30,NTPC,30m,362.8675537109375,365.2999877929688,-2.432434082031307,2.432434082031307,1
2026-02-09 15:20:00+05:30,NTPC,1h,362.291748046875,365.4500122070313,-3.158264160156307,3.158264160156307,1
2026-02-10 09:20:00+05:30,NTPC,10m,367.07037353515625,364.2999877929688,2.770385742187443,2.770385742187443,0
2026-02-10 09:20:00+05:30,NTPC,30m,362.86236572265625,365.0,-2.13763427734375,2.13763427734375,0
2026-02-10 09:20:00+05:30,NTPC,1h,362.2739562988281,365.8999938964844,-3.62603759765625,3.62603759765625,0
2026-02-10 09:30:00+05:30,NTPC,10m,367.0794677734375,365.2999877929688,1.7794799804686932,1.7794799804686932,1
2026-02-10 09:30:00+05:30,NTPC,30m,362.76519775390625,365.2000122070313,-2.434814453125057,2.434814453125057,0
2026-02-10 09:30:00+05:30,NTPC,1h,362.1651916503906,366.5,-4.334808349609375,4.334808349609375,0
2026-02-10 09:40:00+05:30,NTPC,10m,367.1176452636719,365.0,2.117645263671875,2.117645263671875,0
2026-02-10 09:40:00+05:30,NTPC,30m,362.7161560058594,365.4500122070313,-2.733856201171932,2.733856201171932,0
2026-02-10 09:40:00+05:30,NTPC,1h,362.10162353515625,366.8999938964844,-4.798370361328125,4.798370361328125,0
2026-02-10 09:50:00+05:30,NTPC,10m,367.1890563964844,365.2000122070313,1.9890441894530682,1.9890441894530682,1
2026-02-10 09:50:00+05:30,NTPC,30m,362.7137756347656,365.8999938964844,-3.18621826171875,3.18621826171875,0
2026-02-10 09:50:00+05:30,NTPC,1h,362.0807800292969,367.1499938964844,-5.0692138671875,5.0692138671875,0
2026-02-10 10:00:00+05:30,NTPC,10m,367.33123779296875,365.4500122070313,1.8812255859374432,1.8812255859374432,1
2026-02-10 10:00:00+05:30,NTPC,30m,362.7803039550781,366.5,-3.719696044921875,3.719696044921875,0
2026-02-10 10:00:00+05:30,NTPC,1h,362.11419677734375,366.7999877929688,-4.685791015625057,4.685791015625057,0
