date,ticker,horizon,predicted_close,actual_close,error,abs_error,direction_correct
2026-02-09 15:20:00+05:30,INFY,10m,1495.2222900390625,1493.0999755859375,2.122314453125,2.122314453125,1
2026-02-09 15:20:00+05:30,INFY,30m,1499.8492431640625,1503.699951171875,-3.8507080078125,3.8507080078125,1
2026-02-09 15:20:00+05:30,INFY,1h,1486.7305908203125,1507.5,-20.7694091796875,20.7694091796875,0
2026-02-10 09:20:00+05:30,INFY,10m,1493.9561767578125,1498.5999755859375,-4.643798828125,4.643798828125,1
2026-02-10 09:20:00+05:30,INFY,30m,1498.3553466796875,1498.5,-0.1446533203125,0.1446533203125,1
2026-02-10 09:20:00+05:30,INFY,1h,1484.4891357421875,1510.0,-25.5108642578125,25.5108642578125,0
2026-02-10 09:30:00+05:30,INFY,10m,1492.2880859375,1503.699951171875,-11.411865234375,11.411865234375,0
2026-02-10 09:30:00+05:30,INFY,30m,1496.8785400390625,1503.9000244140625,-7.021484375,7.021484375,0
2026-02-10 09:30:00+05:30,INFY,1h,1481.8304443359375,1511.4000244140625,-29.569580078125,29.569580078125,0
2026-02-10 09:40:00+05:30,INFY,10m,1490.5504150390625,1498.5,-7.9495849609375,7.9495849609375,1
2026-02-10 09:40:00+05:30,INFY,30m,1495.4376220703125,1507.5,-12.0623779296875,12.0623779296875,0
2026-02-10 09:40:00+05:30,INFY,1h,1479.5687255859375,1512.5999755859375,-33.03125,33.03125,0
2026-02-10 09:50:00+05:30,INFY,10m,1489.2086181640625,1503.9000244140625,-14.69140625,14.69140625,0
2026-02-10 09:50:00+05:30,INFY,30m,1494.6773681640625,1510.0,-15.3226318359375,15.3226318359375,0
2026-02-10 09:50:00+05:30,INFY,1h,1477.9515380859375,1510.0,-32.0484619140625,32.0484619140625,0
2026-02-10 10:00:00+05:30,INFY,10m,1487.2186279296875,1507.5,-20.2813720703125,20.2813720703125,0
2026-02-10 10:00:00+05:30,INFY,30m,1492.925048828125,1511.4000244140625,-18.4749755859375,18.4749755859375,0
2026-02-10 10:00:00+05:30,INFY,1h,1475.505859375,1510.0999755859375,-34.5941162109375,34.5941162109375,0
2026-02-10 10:10:00+05:30,INFY,10m,1485.4173583984375,1510.0,-24.5826416015625,24.5826416015625,0
2026-02-10 10:10:00+05:30,INFY,30m,1491.5701904296875,1512.5999755859375,-21.02978515625,21.02978515625,0
2026-02-10 10:10:00+05:30,INFY,1h,1473.446533203125,1509.0999755859375,-35.6534423828125,35.6534423828125,0
2026-02-10 10:20:00+05:30,INFY,10m,1484.006103515625,1511.4000244140625,-27.3939208984375,27.3939208984375,0
2026-02-10 10:20:00+05:30,INFY,30m,1490.5936279296875,1510.0,-19.4063720703125,19.4063720703125,0
2026-02-10 10:20:00+05:30,INFY,1h,1472.1849365234375,1507.199951171875,-35.0150146484375,35.0150146484375,1
2026-02-10 10:30:00+05:30,INFY,10m,1482.7906494140625,1512.5999755859375,-29.809326171875,29.809326171875,0
2026-02-10 10:30:00+05:30,INFY,30m,1490.011474609375,1510.0999755859375,-20.0885009765625,20.0885009765625,1
2026-02-10 10:30:00+05:30,INFY,1h,1471.4222412109375,1505.0999755859375,-33.677734375,33.677734375,1
2026-02-10 10:40:00+05:30,INFY,10m,1481.4019775390625,1510.0,-28.5980224609375,28.5980224609375,1
2026-02-10 10:40:00+05:30,INFY,30m,1488.87841796875,1509.0999755859375,-20.2215576171875,20.2215576171875,1
2026-02-10 10:40:00+05:30,INFY,1h,1470.429931640625,1504.0999755859375,-33.6700439453125,33.6700439453125,1
2026-02-10 10:50:00+05:30,INFY,10m,1480.4580078125,1510.0999755859375,-29.6419677734375,29.6419677734375,0
2026-02-10 10:50:00+05:30,INFY,30m,1488.308837890625,1507.199951171875,-18.89111328125,18.89111328125,1
2026-02-10 10:50:00+05:30,INFY,1h,1469.886962890625,1506.5999755859375,-36.7130126953125,36.7130126953125,1
2026-02-10 11:00:00+05:30,INFY,10m,1480.2205810546875,1509.0999755859375,-28.87939453125,28.87939453125,1
2026-02-10 11:00:00+05:30,INFY,30m,1488.318603515625,1505.0999755859375,-16.7813720703125,16.7813720703125,1
2026-02-10 11:00:00+05:30,INFY,1h,1470.2969970703125,1504.699951171875,-34.4029541015625,34.4029541015625,1
2026-02-10 11:10:00+05:30,INFY,10m,1479.9552001953125,1507.199951171875,-27.2447509765625,27.2447509765625,1
2026-02-10 11:10:00+05:30,INFY,30m,1488.23876953125,1504.0999755859375,-15.8612060546875,15.8612060546875,1
2026-02-10 11:10:00+05:30,INFY,1h,1470.577880859375,1504.9000244140625,-34.3221435546875,34.3221435546875,1
2026-02-10 11:20:00+05:30,INFY,10m,1480.07177734375,1505.0999755859375,-25.0281982421875,25.0281982421875,1
2026-02-10 11:20:00+05:30,INFY,30m,1488.426025390625,1506.5999755859375,-18.1739501953125,18.1739501953125,1
2026-02-10 11:20:00+05:30,INFY,1h,1471.4158935546875,1502.9000244140625,-31.484130859375,31.484130859375,1
2026-02-10 11:30:00+05:30,INFY,10m,1480.1475830078125,1504.0999755859375,-23.952392578125,23.952392578125,1
2026-02-10 11:30:00+05:30,INFY,30m,1488.7259521484375,1504.699951171875,-15.9739990234375,15.9739990234375,1
2026-02-10 11:30:00+05:30,INFY,1h,1472.2589111328125,1502.0999755859375,-29.841064453125,29.841064453125,1
2026-02-10 11:40:00+05:30,INFY,10m,1480.64208984375,1506.5999755859375,-25.9578857421875,25.9578857421875,0
2026-02-10 11:40:00+05:30,INFY,30m,1489.3359375,1504.9000244140625,-15.5640869140625,15.5640869140625,0
2026-02-10 11:40:00+05:30,INFY,1h,1473.8634033203125,1504.800048828125,-30.9366455078125,30.9366455078125,0
2026-02-10 11:50:00+05:30,INFY,10m,1480.56787109375,1504.699951171875,-24.132080078125,24.132080078125,1
