Datetime,Close,High,Low,Open,Volume
2025-12-10 09:20:00+05:30,16012.0,16045.0,16009.0,16009.0,6791
2025-12-10 09:25:00+05:30,16046.0,16046.0,16000.0,16014.0,4303
2025-12-10 09:30:00+05:30,16094.0,16099.0,16036.0,16050.0,4776
2025-12-10 09:35:00+05:30,16090.0,16118.0,16083.0,16091.0,4831
2025-12-10 09:40:00+05:30,16065.0,16095.0,16051.0,16088.0,4390
2025-12-10 09:45:00+05:30,16076.0,16083.0,16062.0,16071.0,2227
2025-12-10 09:50:00+05:30,16067.0,16079.0,16065.0,16075.0,2911
2025-12-10 09:55:00+05:30,16076.0,16089.0,16065.0,16066.0,3028
2025-12-10 10:00:00+05:30,16108.0,16125.0,16075.0,16082.0,4067
2025-12-10 10:05:00+05:30,16108.0,16125.0,16095.0,16111.0,2654
2025-12-10 10:10:00+05:30,16077.0,16108.0,16070.0,16107.0,3531
2025-12-10 10:15:00+05:30,16092.0,16099.0,16076.0,16079.0,2519
2025-12-10 10:20:00+05:30,16078.0,16104.0,16062.0,16092.0,2976
2025-12-10 10:25:00+05:30,16073.0,16089.0,16068.0,16078.0,2150
2025-12-10 10:30:00+05:30,16049.0,16086.0,16034.0,16074.0,4107
2025-12-10 10:35:00+05:30,16058.0,16069.0,16049.0,16049.0,2669
2025-12-10 10:40:00+05:30,16060.0,16068.0,16058.0,16058.0,1850
2025-12-10 10:45:00+05:30,16050.0,16067.0,16044.0,16062.0,2731
2025-12-10 10:50:00+05:30,16012.0,16048.0,16010.0,16048.0,4372
2025-12-10 10:55:00+05:30,16015.0,16022.0,16011.0,16011.0,2618
2025-12-10 11:00:00+05:30,16015.0,16019.0,15992.0,16005.0,5860
2025-12-10 11:05:00+05:30,16027.0,16036.0,16012.0,16016.0,2794
2025-12-10 11:10:00+05:30,16043.0,16045.0,16026.0,16026.0,1890
2025-12-10 11:15:00+05:30,16040.0,16060.0,16039.0,16044.0,2889
2025-12-10 11:20:00+05:30,16038.0,16069.0,16038.0,16040.0,2201
2025-12-10 11:25:00+05:30,16020.0,16043.0,16020.0,16041.0,1660
2025-12-10 11:30:00+05:30,16028.0,16039.0,16018.0,16020.0,1935
2025-12-10 11:35:00+05:30,16034.0,16035.0,16024.0,16024.0,2115
2025-12-10 11:40:00+05:30,16046.0,16052.0,16036.0,16036.0,2377
2025-12-10 11:45:00+05:30,16044.0,16046.0,16043.0,16044.0,1332
2025-12-10 11:50:00+05:30,16024.0,16044.0,16022.0,16044.0,2736
2025-12-10 11:55:00+05:30,16032.0,16036.0,16025.0,16025.0,1179
2025-12-10 12:00:00+05:30,16041.0,16041.0,16020.0,16033.0,2085
2025-12-10 12:05:00+05:30,16042.0,16059.0,16042.0,16042.0,3093
2025-12-10 12:10:00+05:30,16058.0,16060.0,16042.0,16043.0,2540
2025-12-10 12:15:00+05:30,16101.0,16110.0,16058.0,16059.0,4517
2025-12-10 12:20:00+05:30,16105.0,16109.0,16100.0,16101.0,2342
2025-12-10 12:25:00+05:30,16108.0,16110.0,16101.0,16105.0,2518
2025-12-10 12:30:00+05:30,16105.0,16108.0,16103.0,16108.0,7180
2025-12-10 12:35:00+05:30,16069.0,16106.0,16066.0,16106.0,4902
2025-12-10 12:40:00+05:30,16070.0,16076.0,16062.0,16070.0,2027
2025-12-10 12:45:00+05:30,16085.0,16088.0,16070.0,16071.0,1607
2025-12-10 12:50:00+05:30,16081.0,16086.0,16071.0,16084.0,2092
2025-12-10 12:55:00+05:30,16101.0,16101.0,16080.0,16080.0,2455
2025-12-10 13:00:00+05:30,16084.0,16100.0,16084.0,16099.0,1419
2025-12-10 13:05:00+05:30,16090.0,16099.0,16084.0,16084.0,1831
2025-12-10 13:10:00+05:30,16097.0,16099.0,16091.0,16091.0,1352
2025-12-10 13:15:00+05:30,16102.0,16102.0,16081.0,16098.0,2060
2025-12-10 13:20:00+05:30,16100.0,16105.0,16099.0,16100.0,3220
2025-12-10 13:25:00+05:30,16077.0,16101.0,16075.0,16101.0,7233
2025-12-10 13:30:00+05:30,16060.0,16078.0,16056.0,16077.0,4573
2025-12-10 13:35:00+05:30,16034.0,16060.0,16034.0,16059.0,8907
2025-12-10 13:40:00+05:30,16033.0,16048.0,16027.0,16034.0,2306
