epoch,forecast_10m_loss,forecast_10m_mae,forecast_10m_mse,forecast_1h_loss,forecast_1h_mae,forecast_1h_mse,forecast_30m_loss,forecast_30m_mae,forecast_30m_mse,loss,lr,val_forecast_10m_loss,val_forecast_10m_mae,val_forecast_10m_mse,val_forecast_1h_loss,val_forecast_1h_mae,val_forecast_1h_mse,val_forecast_30m_loss,val_forecast_30m_mae,val_forecast_30m_mse,val_loss
0,0.36710524559020996,0.040781889110803604,0.0034679665695875883,0.3642491102218628,0.04616143926978111,0.0046487050130963326,0.3703135550022125,0.04369145259261131,0.003995887469500303,1.1016680002212524,0.001,0.36968207359313965,0.052515409886837006,0.005416260100901127,0.3690650165081024,0.05550061911344528,0.006478584371507168,0.36752694845199585,0.050358787178993225,0.005244038533419371,1.1062740087509155
1,0.3651682138442993,0.040791381150484085,0.0034598438069224358,0.3637578785419464,0.046046413481235504,0.004590210039168596,0.36991435289382935,0.04360196739435196,0.003959687426686287,1.0988399982452393,0.001,0.38926252722740173,0.06293640285730362,0.007082662545144558,0.383402019739151,0.06627905368804932,0.00813374388962984,0.3949474096298218,0.06026464328169823,0.006705941632390022,1.1676121950149536
2,0.3665228486061096,0.04085269942879677,0.0034492877312004566,0.3645038902759552,0.04583379998803139,0.004574202001094818,0.36868995428085327,0.04328935593366623,0.003919622395187616,1.0997169017791748,0.001,0.36940470337867737,0.04971557483077049,0.005325077101588249,0.36975786089897156,0.05379683896899223,0.00636011827737093,0.3713533580303192,0.047285400331020355,0.004972331691533327,1.1105159521102905
3,0.36388349533081055,0.0405617281794548,0.0034272344782948494,0.3638668358325958,0.04609992727637291,0.004600592888891697,0.36633190512657166,0.0431775338947773,0.003898298367857933,1.0940816402435303,0.001,0.3658507168292999,0.04906969889998436,0.0048912339843809605,0.38491249084472656,0.05235133320093155,0.005605277605354786,0.367488294839859,0.045687198638916016,0.004496751353144646,1.1182514429092407
4,0.360715389251709,0.039124745875597,0.0032261006999760866,0.36132165789604187,0.04465920850634575,0.004403247963637114,0.36546868085861206,0.041949402540922165,0.0037240744568407536,1.0875059366226196,0.001,0.3679312467575073,0.049354419112205505,0.004955845884978771,0.37145668268203735,0.05329093709588051,0.00602381955832243,0.3679021894931793,0.04813602939248085,0.004733455367386341,1.1072901487350464
5,0.3564741313457489,0.036610331386327744,0.0029238774441182613,0.3560154139995575,0.04188776761293411,0.004033908247947693,0.3601777255535126,0.03909839689731598,0.0033536169212311506,1.0726675987243652,0.0005,0.368985116481781,0.05395608767867088,0.006019480060786009,0.3738090991973877,0.05860576778650284,0.007024411112070084,0.36775508522987366,0.052928242832422256,0.005811089649796486,1.1105494499206543
6,0.3568231761455536,0.03648833557963371,0.002912455005571246,0.35665521025657654,0.041800763458013535,0.0040343571454286575,0.36091455817222595,0.03915177285671234,0.003364945063367486,1.0743932723999023,0.0005,0.3694000244140625,0.05186781287193298,0.005377468653023243,0.3734871447086334,0.05650644749403,0.006483179982751608,0.36933502554893494,0.05141196772456169,0.005331079475581646,1.1122221946716309
7,0.3568703830242157,0.036983877420425415,0.002964411396533251,0.3560818135738373,0.04221029579639435,0.0040735602378845215,0.36066049337387085,0.03954214230179787,0.0034096641466021538,1.0736125707626343,0.0005,0.37195971608161926,0.05411813035607338,0.006062416359782219,0.3731350302696228,0.05993180349469185,0.007352802436798811,0.367022842168808,0.053118638694286346,0.0059059299528598785,1.1121175289154053
8,0.35768646001815796,0.03645864129066467,0.0028960055205971003,0.3553461730480194,0.04160549119114876,0.003990414552390575,0.36040306091308594,0.03893616795539856,0.0033309587743133307,1.073435664176941,0.0005,0.3688089847564697,0.0480286106467247,0.004925677087157965,0.36961233615875244,0.05460286885499954,0.006174979731440544,0.371226966381073,0.04809309169650078,0.004994857590645552,1.1096482276916504
9,0.35312607884407043,0.035172659903764725,0.002783298958092928,0.3533496558666229,0.040403012186288834,0.0038816267624497414,0.3571685254573822,0.03777886554598808,0.0032203004229813814,1.0636441707611084,0.00025,0.37072303891181946,0.053836483508348465,0.005808461457490921,0.3740100562572479,0.05666349083185196,0.006684351246803999,0.36938604712486267,0.050850603729486465,0.005434817634522915,1.1141194105148315
10,0.3536117374897003,0.03506804630160332,0.0027519799768924713,0.35221067070961,0.0403168648481369,0.0038440513890236616,0.3570481240749359,0.037634920328855515,0.0031741091515868902,1.0628712177276611,0.00025,0.3695472776889801,0.053102269768714905,0.005686769727617502,0.37089401483535767,0.056941788643598557,0.00667166244238615,0.367692232131958,0.051203545182943344,0.005432823207229376,1.1081334352493286
