epoch,forecast_10m_loss,forecast_10m_mae,forecast_10m_mse,forecast_1h_loss,forecast_1h_mae,forecast_1h_mse,forecast_30m_loss,forecast_30m_mae,forecast_30m_mse,loss,lr,val_forecast_10m_loss,val_forecast_10m_mae,val_forecast_10m_mse,val_forecast_1h_loss,val_forecast_1h_mae,val_forecast_1h_mse,val_forecast_30m_loss,val_forecast_30m_mae,val_forecast_30m_mse,val_loss
0,0.9243674874305725,0.23554864525794983,0.10578860342502594,0.9209110140800476,0.24019727110862732,0.11539829522371292,0.8755587339401245,0.21068979799747467,0.08534413576126099,2.720837116241455,0.0005,0.6590529084205627,0.11118321120738983,0.019575372338294983,0.6578717827796936,0.11036229133605957,0.01711398735642433,0.6937787532806396,0.09614314138889313,0.015124890953302383,2.0107030868530273
1,0.6872768402099609,0.10310779511928558,0.01860533095896244,0.6947517991065979,0.10769744217395782,0.020413972437381744,0.6888132691383362,0.09948157519102097,0.0177962277084589,2.0708420276641846,0.0005,0.6312779188156128,0.07403331249952316,0.00894208438694477,0.7267575263977051,0.07407690584659576,0.010278313420712948,0.7074598670005798,0.08449433743953705,0.011871661990880966,2.065495491027832
2,0.6505537033081055,0.07618514448404312,0.010434833355247974,0.6530742049217224,0.08067863434553146,0.011973747983574867,0.6538983583450317,0.07729708403348923,0.011262512765824795,1.957525610923767,0.0005,0.6490277051925659,0.09052959829568863,0.012391933239996433,0.6776410341262817,0.09942250698804855,0.01501513458788395,0.6527355909347534,0.09326405078172684,0.013067414052784443,1.9794044494628906
3,0.6345323324203491,0.0661984235048294,0.008068816736340523,0.6367279291152954,0.0710100531578064,0.009582455269992352,0.6414592862129211,0.06967722624540329,0.009350043721497059,1.9127188920974731,0.0005,0.6283445954322815,0.06423668563365936,0.007384167984127998,0.6164859533309937,0.06930176913738251,0.009397461079061031,0.6292176246643066,0.06488318741321564,0.007724563591182232,1.874047875404358
4,0.6319412589073181,0.05919298902153969,0.006576361134648323,0.6286699771881104,0.06360798329114914,0.007909568026661873,0.6340541243553162,0.06282220780849457,0.0077266087755560875,1.8946654796600342,0.0005,0.6334070563316345,0.08489721268415451,0.010778823867440224,0.6307549476623535,0.10258205235004425,0.015321962535381317,0.6330049633979797,0.08599524199962616,0.01125114131718874,1.89716637134552
5,0.6295028924942017,0.056322090327739716,0.006026975344866514,0.6245920062065125,0.06069129705429077,0.007230160757899284,0.6303387880325317,0.060090724378824234,0.007163017522543669,1.8844327926635742,0.0005,0.6633813381195068,0.07639187574386597,0.009351172484457493,0.6306613683700562,0.09275809675455093,0.013444452546536922,0.6262302994728088,0.07217521965503693,0.008673379197716713,1.9202734231948853
6,0.6243780851364136,0.05281488969922066,0.005335346795618534,0.6218051910400391,0.05801910161972046,0.006708454340696335,0.6263760924339294,0.05681447312235832,0.006415130570530891,1.8725595474243164,0.0005,0.6303011775016785,0.0814170315861702,0.00997907668352127,0.6404159069061279,0.1011352688074112,0.01496975589543581,0.6351658701896667,0.08386650681495667,0.010591266676783562,1.905882716178894
7,0.620429277420044,0.04924207553267479,0.004755544941872358,0.6093066930770874,0.05443601682782173,0.006090377923101187,0.620017409324646,0.05330150946974754,0.005822435952723026,1.8497530221939087,0.00025,0.6353878974914551,0.06397183984518051,0.007153344340622425,0.627416729927063,0.07645127177238464,0.010112623684108257,0.6375706791877747,0.06607034802436829,0.007554424926638603,1.900375485420227
8,0.6194393038749695,0.04771995171904564,0.004548318684101105,0.6114360690116882,0.05326536297798157,0.005886155646294355,0.6191929578781128,0.05193551257252693,0.005618803668767214,1.8500683307647705,0.00025,0.6306398510932922,0.07104618102312088,0.008156468160450459,0.618252158164978,0.07978455722332001,0.010430801659822464,0.6238722801208496,0.07135060429573059,0.008272865787148476,1.872764229774475
9,0.6180546879768372,0.047564826905727386,0.004517971538007259,0.6094261407852173,0.052696358412504196,0.005752458702772856,0.6181753873825073,0.05197957903146744,0.005610086489468813,1.8456553220748901,0.00025,0.6519361138343811,0.060525089502334595,0.006677222438156605,0.6336724758148193,0.07110916823148727,0.009396436624228954,0.6595274806022644,0.05873214453458786,0.0066907815635204315,1.945136308670044
10,0.61760413646698,0.046223558485507965,0.004296474624425173,0.6112716197967529,0.05141586437821388,0.005508527159690857,0.6198412179946899,0.050858139991760254,0.005381592083722353,1.8487168550491333,0.00025,0.6218468546867371,0.06524699181318283,0.007291555870324373,0.6199681162834167,0.07938287407159805,0.01031577866524458,0.6253522038459778,0.06611904501914978,0.007560265250504017,1.8671672344207764
11,0.6168636083602905,0.0456329844892025,0.004188466817140579,0.6092070937156677,0.050928160548210144,0.005404573865234852,0.6163447499275208,0.050174158066511154,0.00521318893879652,1.8424162864685059,0.00025,0.6142755746841431,0.04921995475888252,0.00541378278285265,0.6080511212348938,0.05969817936420441,0.007915607653558254,0.6129432320594788,0.05093485862016678,0.005847624968737364,1.8352696895599365
12,0.6163638830184937,0.04525032639503479,0.004136891104280949,0.6072863936424255,0.050549134612083435,0.0053390925750136375,0.6178937554359436,0.05007759481668472,0.005188035313040018,1.841543436050415,0.00025,0.6200761795043945,0.062285713851451874,0.006804825272411108,0.6177530884742737,0.07978484779596329,0.010451409965753555,0.6211634874343872,0.06296268850564957,0.007089668419212103,1.8589928150177002
13,0.6159703731536865,0.0446297787129879,0.004041267558932304,0.6066112518310547,0.049999915063381195,0.005274963099509478,0.614200234413147,0.04906877875328064,0.005030414555221796,1.8367819786071777,0.00025,0.619437575340271,0.05933770164847374,0.006530781276524067,0.6170915961265564,0.07423645257949829,0.009685412980616093,0.619949460029602,0.061643071472644806,0.007045445963740349,1.8564789295196533
14,0.615583598613739,0.04405369237065315,0.00393694918602705,0.6045593619346619,0.049402229487895966,0.0051448834128677845,0.6158853769302368,0.0481376126408577,0.0048025865107774734,1.8360284566879272,0.00025,0.6260817646980286,0.06681941449642181,0.007625706028193235,0.6186407804489136,0.07848033308982849,0.010266976431012154,0.6228440403938293,0.06656665354967117,0.007769986055791378,1.867566466331482
15,0.6130527853965759,0.04210582748055458,0.0036662565544247627,0.601880669593811,0.04752781614661217,0.004873426631093025,0.6111049652099609,0.04650446027517319,0.004573857877403498,1.8260382413864136,0.000125,0.6149784922599792,0.052142176777124405,0.005614216905087233,0.6079846024513245,0.06407418102025986,0.008092799223959446,0.6128420829772949,0.05219166353344917,0.00582890585064888,1.8358052968978882
