epoch,forecast_10m_loss,forecast_10m_mae,forecast_10m_mse,forecast_1h_loss,forecast_1h_mae,forecast_1h_mse,forecast_30m_loss,forecast_30m_mae,forecast_30m_mse,loss,lr,val_forecast_10m_loss,val_forecast_10m_mae,val_forecast_10m_mse,val_forecast_1h_loss,val_forecast_1h_mae,val_forecast_1h_mse,val_forecast_30m_loss,val_forecast_30m_mae,val_forecast_30m_mse,val_loss
0,0.7201352119445801,0.041953880339860916,0.0034993800800293684,0.7047081589698792,0.04813129082322121,0.004841219633817673,0.7180271148681641,0.045172885060310364,0.004115854389965534,2.1428701877593994,0.001,0.7139415144920349,0.053067754954099655,0.005701164714992046,0.7019155025482178,0.057092223316431046,0.006969868205487728,0.7140581011772156,0.05294463038444519,0.005974587518721819,2.129915237426758
1,0.7163588404655457,0.040822166949510574,0.0033671101555228233,0.6993732452392578,0.04688731208443642,0.004696020856499672,0.7115772366523743,0.043816424906253815,0.003945632837712765,2.127309560775757,0.001,0.7227126359939575,0.047229647636413574,0.005223436281085014,0.7001327276229858,0.05432860553264618,0.006990284193307161,0.7154505252838135,0.0504230372607708,0.0059573776088654995,2.138295888900757
2,0.7164281010627747,0.04110773280262947,0.0034185615368187428,0.6976801156997681,0.047554951161146164,0.004798436537384987,0.7111047506332397,0.04442301765084267,0.004017047118395567,2.1252129077911377,0.001,0.7197367548942566,0.0488172210752964,0.005321874283254147,0.7145393490791321,0.053876545280218124,0.006788933649659157,0.7205700874328613,0.04979165270924568,0.005708306096494198,2.15484619140625
3,0.7145059108734131,0.03899890184402466,0.003147483803331852,0.6957637667655945,0.04557041451334953,0.004527154844254255,0.7110844850540161,0.04217148944735527,0.0037380459252744913,2.1213531494140625,0.001,0.7267725467681885,0.07310021668672562,0.008972574956715107,0.7261472940444946,0.07424096018075943,0.009581044316291809,0.7186803221702576,0.06877725571393967,0.008204272016882896,2.171599864959717
4,0.7144008278846741,0.03987204283475876,0.003245527623221278,0.6980785727500916,0.046200308948755264,0.004571344703435898,0.7098351120948792,0.04286027327179909,0.0037961641792207956,2.122314453125,0.001,0.7164884209632874,0.047170475125312805,0.004971922840923071,0.7175922989845276,0.052944425493478775,0.0067090182565152645,0.7291859984397888,0.04884929582476616,0.005471623502671719,2.163266658782959
5,0.7091124653816223,0.03640094771981239,0.0028084558434784412,0.6898555159568787,0.042604513466358185,0.004049369599670172,0.70591139793396,0.03954271972179413,0.0033321871887892485,2.104879856109619,0.0005,0.7130834460258484,0.050700001418590546,0.006381643004715443,0.7000225782394409,0.057216040790081024,0.008202994242310524,0.7099043130874634,0.05258527398109436,0.006922400556504726,2.1230106353759766
6,0.7059215307235718,0.0355183444917202,0.0027137049473822117,0.6878109574317932,0.041799645870923996,0.003989331424236298,0.7036925554275513,0.03869551047682762,0.0032508806325495243,2.0974254608154297,0.0005,0.7209612131118774,0.055657580494880676,0.006337652914226055,0.699429988861084,0.06031903624534607,0.007498133461922407,0.7111716866493225,0.05511561408638954,0.006321679335087538,2.1315624713897705
7,0.7057332992553711,0.03517000377178192,0.0026730590034276247,0.6878279447555542,0.041514843702316284,0.003942476585507393,0.7012217044830322,0.038516171276569366,0.0032226431649178267,2.094782829284668,0.0005,0.7144044637680054,0.05705917626619339,0.006516778841614723,0.6994878053665161,0.0617683120071888,0.007725156843662262,0.708889901638031,0.05597551539540291,0.0064501678571105,2.122781991958618
8,0.7065032720565796,0.03566106781363487,0.002724315505474806,0.6886501908302307,0.04208168014883995,0.004004830028861761,0.7018700242042542,0.03881688788533211,0.0032473180908709764,2.097022771835327,0.0005,0.7153130769729614,0.05636778846383095,0.006488011684268713,0.6978497505187988,0.060760341584682465,0.007709736470133066,0.7104237079620361,0.05494268611073494,0.006356200203299522,2.1235859394073486
9,0.7058210372924805,0.035498298704624176,0.002717982279136777,0.6859074234962463,0.04199279099702835,0.003982392139732838,0.7018700838088989,0.03870281204581261,0.0032449900172650814,2.093597888946533,0.0005,0.7159731984138489,0.04809171333909035,0.005415582563728094,0.7113980054855347,0.05608456954360008,0.007168263662606478,0.7191520929336548,0.0505950041115284,0.005870978347957134,2.1465229988098145
10,0.7062285542488098,0.03563132882118225,0.0027160565368831158,0.686552107334137,0.04208198934793472,0.003975147381424904,0.7019743919372559,0.03868469223380089,0.0032301614992320538,2.094754695892334,0.0005,0.7124866247177124,0.05170219764113426,0.005500325467437506,0.6990490555763245,0.05520535260438919,0.006718941032886505,0.7180488109588623,0.050149738788604736,0.005514041520655155,2.129584312438965
11,0.7052472829818726,0.03433854877948761,0.002557494444772601,0.6851258277893066,0.04082441329956055,0.0038090927992016077,0.7002087235450745,0.03751402348279953,0.0030799268279224634,2.0905816555023193,0.0005,0.7137832641601562,0.05552918463945389,0.006227548234164715,0.7020895481109619,0.06106279417872429,0.0077221388928592205,0.7110469341278076,0.05413757637143135,0.0061384541913867,2.126919984817505
12,0.7030145525932312,0.032821670174598694,0.002424438949674368,0.6812675595283508,0.03925886005163193,0.003685121890157461,0.6983731389045715,0.03601850941777229,0.0029384284280240536,2.0826547145843506,0.00025,0.712698221206665,0.05131065845489502,0.005834911018610001,0.6963639855384827,0.05648527294397354,0.007060723844915628,0.709807276725769,0.051617927849292755,0.005928578320890665,2.1188695430755615
13,0.7018700838088989,0.03206790238618851,0.0023244714830070734,0.6812592148780823,0.038469310849905014,0.00355093483813107,0.6970146298408508,0.035269882529973984,0.0028346418403089046,2.080144166946411,0.00025,0.722411572933197,0.058549001812934875,0.00678138667717576,0.6977623701095581,0.06313138455152512,0.008123763836920261,0.7173998355865479,0.05751220881938934,0.006800222210586071,2.137573719024658
14,0.7026274800300598,0.03307073563337326,0.0024351575411856174,0.68086177110672,0.03940248861908913,0.0036645394284278154,0.697235643863678,0.03627811744809151,0.002955634845420718,2.0807247161865234,0.00025,0.718207061290741,0.06454983353614807,0.007707956247031689,0.7022762894630432,0.06976956874132156,0.009130490012466908,0.7143956422805786,0.06294205039739609,0.007553859148174524,2.134877920150757
15,0.7018686532974243,0.03287043049931526,0.0024181625340133905,0.6816909909248352,0.0394306480884552,0.0036659587640315294,0.69581139087677,0.036073509603738785,0.0029325743671506643,2.0793702602386475,0.00025,0.7192903161048889,0.06317134946584702,0.007601869758218527,0.6998648643493652,0.06708866357803345,0.008699610829353333,0.7172607779502869,0.061406780034303665,0.007406903430819511,2.1364166736602783
16,0.7019822597503662,0.03265834227204323,0.00237743416801095,0.6805387139320374,0.03909770026803017,0.003621903480961919,0.6959075331687927,0.03583933040499687,0.0028858871664851904,2.078428030014038,0.00025,0.7182916402816772,0.06244083121418953,0.007482317741960287,0.699293851852417,0.06668273359537125,0.008668359369039536,0.7132247090339661,0.060526043176651,0.007227422669529915,2.130810499191284
17,0.7005847692489624,0.03141720965504646,0.0022550204303115606,0.6779685020446777,0.03777976706624031,0.003481500083580613,0.6945290565490723,0.03472511097788811,0.002778547815978527,2.0730812549591064,0.000125,0.714219331741333,0.05512044578790665,0.006329486146569252,0.6972309947013855,0.06165733560919762,0.007754196412861347,0.7100809812545776,0.055659227073192596,0.0064652906730771065,2.1215314865112305
18,0.7004179954528809,0.03170151263475418,0.002306334674358368,0.676615834236145,0.038151584565639496,0.0035500144585967064,0.6946576237678528,0.034874770790338516,0.002816698746755719,2.0716915130615234,0.000125,0.7189576625823975,0.06201010197401047,0.007467069663107395,0.699508011341095,0.06732618063688278,0.008784903213381767,0.7145546674728394,0.06152843311429024,0.00744983647018671,2.1330201625823975
19,0.6999565958976746,0.03113188035786152,0.0022491842973977327,0.676253616809845,0.037661463022232056,0.003480596700683236,0.6928256154060364,0.03434950113296509,0.00274555291980505,2.069035530090332,0.000125,0.7177824378013611,0.05866954103112221,0.006955259945243597,0.6984190344810486,0.06388910859823227,0.008182473480701447,0.7123090624809265,0.058286674320697784,0.006965608336031437,2.1285104751586914
