date,ticker,horizon,predicted_close,actual_close,error,abs_error,direction_correct
2026-02-04 15:20:00+05:30,INFY,10m,1680.5794677734375,1542.300048828125,138.2794189453125,138.2794189453125,1
2026-02-04 15:20:00+05:30,INFY,30m,1659.4129638671875,1539.9000244140625,119.512939453125,119.512939453125,1
2026-02-04 15:20:00+05:30,INFY,1h,1651.7080078125,1546.199951171875,105.508056640625,105.508056640625,1
2026-02-05 09:20:00+05:30,INFY,10m,1678.658935546875,1541.199951171875,137.458984375,137.458984375,0
2026-02-05 09:20:00+05:30,INFY,30m,1657.834228515625,1542.4000244140625,115.4342041015625,115.4342041015625,1
2026-02-05 09:20:00+05:30,INFY,1h,1650.1015625,1542.699951171875,107.401611328125,107.401611328125,1
2026-02-05 09:30:00+05:30,INFY,10m,1676.3426513671875,1539.9000244140625,136.442626953125,136.442626953125,0
2026-02-05 09:30:00+05:30,INFY,30m,1655.9205322265625,1543.0,112.9205322265625,112.9205322265625,1
2026-02-05 09:30:00+05:30,INFY,1h,1648.1932373046875,1539.199951171875,108.9932861328125,108.9932861328125,0
2026-02-05 09:40:00+05:30,INFY,10m,1672.9180908203125,1542.4000244140625,130.51806640625,130.51806640625,1
2026-02-05 09:40:00+05:30,INFY,30m,1652.96630859375,1546.199951171875,106.766357421875,106.766357421875,1
2026-02-05 09:40:00+05:30,INFY,1h,1645.301025390625,1536.4000244140625,108.9010009765625,108.9010009765625,0
2026-02-05 09:50:00+05:30,INFY,10m,1669.344970703125,1543.0,126.344970703125,126.344970703125,1
2026-02-05 09:50:00+05:30,INFY,30m,1649.84326171875,1542.699951171875,107.143310546875,107.143310546875,1
2026-02-05 09:50:00+05:30,INFY,1h,1642.3336181640625,1534.300048828125,108.0335693359375,108.0335693359375,0
2026-02-05 10:00:00+05:30,INFY,10m,1665.3985595703125,1546.199951171875,119.1986083984375,119.1986083984375,1
2026-02-05 10:00:00+05:30,INFY,30m,1646.4378662109375,1539.199951171875,107.2379150390625,107.2379150390625,0
2026-02-05 10:00:00+05:30,INFY,1h,1639.09521484375,1535.0,104.09521484375,104.09521484375,0
2026-02-05 10:10:00+05:30,INFY,10m,1661.845458984375,1542.699951171875,119.1455078125,119.1455078125,0
2026-02-05 10:10:00+05:30,INFY,30m,1643.2626953125,1536.4000244140625,106.8626708984375,106.8626708984375,0
2026-02-05 10:10:00+05:30,INFY,1h,1636.0889892578125,1535.0999755859375,100.989013671875,100.989013671875,0
2026-02-05 10:20:00+05:30,INFY,10m,1656.885986328125,1539.199951171875,117.68603515625,117.68603515625,0
2026-02-05 10:20:00+05:30,INFY,30m,1639.075927734375,1534.300048828125,104.77587890625,104.77587890625,0
2026-02-05 10:20:00+05:30,INFY,1h,1631.8809814453125,1531.300048828125,100.5809326171875,100.5809326171875,0
2026-02-05 10:30:00+05:30,INFY,10m,1649.7100830078125,1536.4000244140625,113.31005859375,113.31005859375,0
2026-02-05 10:30:00+05:30,INFY,30m,1632.9639892578125,1535.0,97.9639892578125,97.9639892578125,0
2026-02-05 10:30:00+05:30,INFY,1h,1625.785400390625,1528.800048828125,96.9853515625,96.9853515625,0
2026-02-05 10:40:00+05:30,INFY,10m,1639.5977783203125,1534.300048828125,105.2977294921875,105.2977294921875,0
2026-02-05 10:40:00+05:30,INFY,30m,1624.2510986328125,1535.0999755859375,89.151123046875,89.151123046875,0
2026-02-05 10:40:00+05:30,INFY,1h,1617.2724609375,1524.800048828125,92.472412109375,92.472412109375,0
2026-02-05 10:50:00+05:30,INFY,10m,1620.93994140625,1535.0,85.93994140625,85.93994140625,1
2026-02-05 10:50:00+05:30,INFY,30m,1607.304443359375,1531.300048828125,76.00439453125,76.00439453125,0
2026-02-05 10:50:00+05:30,INFY,1h,1601.716064453125,1526.9000244140625,74.8160400390625,74.8160400390625,0
2026-02-05 11:00:00+05:30,INFY,10m,1606.24267578125,1535.0999755859375,71.1427001953125,71.1427001953125,1
2026-02-05 11:00:00+05:30,INFY,30m,1592.3541259765625,1528.800048828125,63.5540771484375,63.5540771484375,0
2026-02-05 11:00:00+05:30,INFY,1h,1589.1470947265625,1521.0999755859375,68.047119140625,68.047119140625,0
2026-02-05 11:10:00+05:30,INFY,10m,1598.4239501953125,1531.300048828125,67.1239013671875,67.1239013671875,0
2026-02-05 11:10:00+05:30,INFY,30m,1583.744384765625,1524.800048828125,58.9443359375,58.9443359375,0
2026-02-05 11:10:00+05:30,INFY,1h,1582.157470703125,1520.5999755859375,61.5574951171875,61.5574951171875,0
2026-02-05 11:20:00+05:30,INFY,10m,1592.4669189453125,1528.800048828125,63.6668701171875,63.6668701171875,0
2026-02-05 11:20:00+05:30,INFY,30m,1577.40673828125,1526.9000244140625,50.5067138671875,50.5067138671875,0
2026-02-05 11:20:00+05:30,INFY,1h,1576.7413330078125,1519.5999755859375,57.141357421875,57.141357421875,0
2026-02-05 11:30:00+05:30,INFY,10m,1588.0323486328125,1524.800048828125,63.2322998046875,63.2322998046875,0
2026-02-05 11:30:00+05:30,INFY,30m,1572.6473388671875,1521.0999755859375,51.54736328125,51.54736328125,0
2026-02-05 11:30:00+05:30,INFY,1h,1572.6611328125,1518.800048828125,53.861083984375,53.861083984375,0
2026-02-05 11:40:00+05:30,INFY,10m,1582.56103515625,1526.9000244140625,55.6610107421875,55.6610107421875,1
2026-02-05 11:40:00+05:30,INFY,30m,1566.4102783203125,1520.5999755859375,45.810302734375,45.810302734375,0
2026-02-05 11:40:00+05:30,INFY,1h,1566.953857421875,1520.699951171875,46.25390625,46.25390625,0
2026-02-05 11:50:00+05:30,INFY,10m,1580.198486328125,1521.0999755859375,59.0985107421875,59.0985107421875,0
2026-02-05 11:50:00+05:30,INFY,30m,1563.7166748046875,1519.5999755859375,44.11669921875,44.11669921875,0
2026-02-05 11:50:00+05:30,INFY,1h,1564.7218017578125,1520.0,44.7218017578125,44.7218017578125,0
2026-02-05 12:00:00+05:30,INFY,10m,1578.55810546875,1520.5999755859375,57.9581298828125,57.9581298828125,0
2026-02-05 12:00:00+05:30,INFY,30m,1561.7481689453125,1518.800048828125,42.9481201171875,42.9481201171875,0
2026-02-05 12:00:00+05:30,INFY,1h,1563.078369140625,1520.5,42.578369140625,42.578369140625,0
2026-02-05 12:10:00+05:30,INFY,10m,1578.0391845703125,1519.5999755859375,58.439208984375,58.439208984375,0
2026-02-05 12:10:00+05:30,INFY,30m,1560.87060546875,1520.699951171875,40.170654296875,40.170654296875,1
2026-02-05 12:10:00+05:30,INFY,1h,1562.2728271484375,1519.5,42.7728271484375,42.7728271484375,0
2026-02-05 12:20:00+05:30,INFY,10m,1577.29052734375,1518.800048828125,58.490478515625,58.490478515625,0
2026-02-05 12:20:00+05:30,INFY,30m,1559.7667236328125,1520.0,39.7667236328125,39.7667236328125,1
2026-02-05 12:20:00+05:30,INFY,1h,1561.323974609375,1516.0,45.323974609375,45.323974609375,0
2026-02-05 12:30:00+05:30,INFY,10m,1576.1409912109375,1520.699951171875,55.4410400390625,55.4410400390625,1
2026-02-05 12:30:00+05:30,INFY,30m,1558.0870361328125,1520.5,37.5870361328125,37.5870361328125,1
2026-02-05 12:30:00+05:30,INFY,1h,1559.7869873046875,1521.5,38.2869873046875,38.2869873046875,1
2026-02-05 12:40:00+05:30,INFY,10m,1575.337158203125,1520.0,55.337158203125,55.337158203125,0
2026-02-05 12:40:00+05:30,INFY,30m,1556.966796875,1519.5,37.466796875,37.466796875,0
2026-02-05 12:40:00+05:30,INFY,1h,1558.9974365234375,1523.199951171875,35.7974853515625,35.7974853515625,1
2026-02-05 12:50:00+05:30,INFY,10m,1574.5625,1520.5,54.0625,54.0625,1
2026-02-05 12:50:00+05:30,INFY,30m,1555.9254150390625,1516.0,39.9254150390625,39.9254150390625,0
2026-02-05 12:50:00+05:30,INFY,1h,1558.15087890625,1522.5999755859375,35.5509033203125,35.5509033203125,1
2026-02-05 13:00:00+05:30,INFY,10m,1574.6744384765625,1519.5,55.1744384765625,55.1744384765625,0
2026-02-05 13:00:00+05:30,INFY,30m,1555.7401123046875,1521.5,34.2401123046875,34.2401123046875,1
2026-02-05 13:00:00+05:30,INFY,1h,1558.152587890625,1521.300048828125,36.8525390625,36.8525390625,1
2026-02-05 13:10:00+05:30,INFY,10m,1574.077880859375,1516.0,58.077880859375,58.077880859375,0
2026-02-05 13:10:00+05:30,INFY,30m,1554.8980712890625,1523.199951171875,31.6981201171875,31.6981201171875,1
2026-02-05 13:10:00+05:30,INFY,1h,1557.450927734375,1520.0999755859375,37.3509521484375,37.3509521484375,1
